1,アーティチョーク,10
2,アーモンド,10
3,あけび,10
4,アサイー,10
5,あしたば,10
6,アスパラガス,10
7,アボカド,10
8,きくらげ,10
9,もやし,10
10,アロエ,10
11,あんず,10
12,いちご,10
13,いちじく,10
14,いよかん,10
15,いんげんまめ,10
16,うめ,10
17,みかん,10
18,えだまめ,10
19,えのき,10
20,エリンギ,10
21,おかひじき,10
22,おくら,10
23,オリーブ,10
24,オレンジ,10
25,かいわれだいこん,10
26,かき（果物）,10
27,カシス,10
28,カシューナッツ,10
29,かぶ,10
30,かぼす,10
31,かぼちゃ,10
32,カリフラワー,10
33,かんぴょう,10
34,キウイフルーツ,10
35,キャベツ,10
36,きゅうり,10
37,きんかん,10
38,キンサイ,10
39,きんとき,10
40,ぎんなん,10
41,グァバ,10
42,グリーンピース,10
43,くるみ,10
44,グレープフルーツ,10
45,クレソン,10
46,ケール,10
47,けし,10
48,ココナッツ,10
49,こねぎ,10
50,ごぼう,10
51,ごま,10
52,こまつな,10
53,コリアンダー,10
54,ザーサイ,10
55,さくらんぼ,10
56,ざくろ,10
57,サニーレタス,10
58,さやいんげん,10
59,さやえんどう,10
60,サラダな,10
61,サンチュ,10
62,シークヮーサー,10
63,しいたけ,10
64,しかくまめ,10
65,ししとう,10
66,しそ,10
67,しゅんぎく,10
68,しょうが,10
69,しろうり,10
70,スイートコーン,10
71,すいか,10
72,スターフルーツ,10
73,すだち,10
74,ズッキーニ,10
75,スナップえんどう,10
76,せり,10
77,セロリ,10
78,ぜんまい,10
79,そらまめ,10
80,タアサイ,10
81,だいこん,10
82,たかな,10
83,たけのこ,10
84,たまねぎ,10
85,たらのめ,10
86,チアシード,10
87,ゆきな,10
88,チンゲンサイ,10
89,つくし,10
90,つるむらさき,10
91,とうがらし,10
92,とうがん,10
93,とうみょう,10
94,ドライトマト,10
95,ドラゴンフルーツ,10
96,ドリアン,10
97,なす,10
98,なつみかん,10
99,なつめ,10
100,なつめやし,10
101,なめこ,10
102,にがうり,10
103,すもも,10
104,にら,10
105,にんじん,10
106,にんにく,10
107,ネクタリン,10
108,のざわな,10
109,のびる,10
110,パイナップル,10
111,はくさい,10
112,バジル,10
113,パセリ,10
114,はたけしめじ,10
115,はつかだいこん,10
116,はっさく,10
117,パッションフルーツ,10
118,バナナ,10
119,パパイア,10
120,ビーツ,10
121,ピスタチオ,10
122,ひまわり,10
123,ひゅうがなつ,10
124,ひらたけ,10
125,びわ,10
126,ふき,10
127,ふきのとう,10
128,ふじまめ,10
129,ぶどう,10
130,ぶなしめじ,10
131,ブルーベリー,10
132,プルーン,10
133,ブロッコリー,10
134,べいなす,10
135,ヘーゼルナッツ,10
136,へちま,10
137,ほうれんそう,10
138,ホースラディッシュ,10
139,ぽんかん,10
140,しめじ,10
141,まいたけ,10
142,マカダミアナッツ,10
143,まつたけ,10
144,マンゴー,10
145,マンゴスチン,10
146,みずな,10
147,ミックスベジタブル,10
148,ミニキャロット,10
149,みょうが,10
150,めきゃべつ,10
151,メロン,10
152,もも,10
153,モロヘイヤ,10
154,ヤングコーン,10
155,ゆず,10
156,よもぎ,10
157,ライチー,10
158,ライム,10
159,ラズベリー,10
160,らっかせい,10
161,らっきょう,10
162,リーフレタス,10
163,りんご,10
164,ルッコラ,10
165,レタス,10
166,レモン,10
167,れんこん,10
168,わさび,10
169,わらび,10
170,黄ピーマン,10
171,みつば,10
172,新しょうが,10
173,西洋なし,10
174,ピーマン,10
175,赤たまねぎ,10
176,赤ピーマン,10
177,トマト,10
178,ミニトマト,10
179,切干しだいこん,10
180,漬物,10
181,くり,10
182,なし,10
183,野菜ミックスジュース,10
184,なばな,10
185,あいがも,20
186,アイスクリーム,20
187,あひる,20
188,あひる卵,20
189,いなご,20
190,いのしし肉,20
191,ソーセージ,20
192,うこっけい卵,20
193,うさぎ肉,20
194,うずら肉,20
195,うずらたまご,20
196,かえる,20
197,きじ肉,20
198,くじら肉,20
199,クリーム,20
200,コーヒーフレッシュ,20
201,コンビーフ,20
202,しちめんちょう,20
203,シャーベット,20
204,ベーコン,20
205,すずめ,20
206,すっぽん,20
207,スモークタン,20
208,スモークレバー,20
209,ソフトクリーム,20
210,チーズ,20
211,粉チーズ,20
212,チキンナゲット,20
213,鶏ささみ,20
214,鶏すなぎも,20
215,鶏つくね,20
216,鶏なんこつ,20
217,鶏ひき肉,20
218,鶏むね,20
219,鶏もも,20
220,鶏レバー,20
221,鶏手羽先,20
222,鶏手羽元,20
223,鶏皮,20
224,はと肉,20
225,ビーフジャーキー,20
226,フォアグラ,20
227,豚かたロース,20
228,豚そともも,20
229,豚ばら,20
230,豚ひき肉,20
231,豚ヒレ,20
232,豚ホルモン,20
233,豚もも,20
234,豚ロース,20
235,豚軟骨,20
236,ホイップクリーム,20
237,ほろほろちょう,20
238,ボンレスハム,20
239,まがも,20
240,マトン,20
241,やぎ肉,20
242,やぎ乳,20
243,ヨーグルト,20
244,ラクトアイス,20
245,ラム,20
246,レバーペースト,20
247,ローストビーフ,20
248,ロースハム,20
249,牛かたロース,20
250,牛サーロイン,20
251,牛そともも,20
252,牛ばら,20
253,牛ひき肉,20
254,牛ヒレ,20
255,牛ホルモン,20
256,牛もも,20
257,牛ランプ,20
258,牛リブロース,20
259,たまご,20
260,骨付きハム,20
261,鹿肉,20
262,焼豚,20
263,焼鳥缶詰,20
264,生ハム,20
265,生クリーム,20
266,豚足,20
267,馬肉,20
